"facility","facility_uid","subcounty","subcounty_uid","municipality","municipality_uid","district","district_uid","region","region_uid"
"Bar-Dege Layibi Division Field Survey Station 012","pVtYCy55mn4","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 012","qZUu0ylcHTa","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Guru-Guru Subcounty Field Survey Station 001","l25J2D2A6R3","Guru-Guru Subcounty","tunpJ39KaWx","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Labongo Amida Subcounty Field Survey Station 001","resqo4n29Tk","Labongo Amida Subcounty","awkC6nEZfiH","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Awach Subcounty Field Survey Station 002","F6wXWJHDAlo","Awach Subcounty","nd7BxeKY0BC","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 013","iRuin8Wmvzp","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Bobi Subcounty Field Survey Station 003","QScw1OtIUHL","Bobi Subcounty","FjaBJw5pfW8","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 013","S0RHvHct4uS","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Central Division Field Survey Station 005","OSehC9j4JV1","Central Division","mdLZLcMudPe","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Atanga Town Council Field Survey Station 002","xutXNJwdyaK","Atanga Town Council","uHmVhpbgvZJ","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Pabo Subcounty Field Survey Station 003","am0vQYNJohR","Pabo Subcounty","EgcvIoAN7Ti","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Laguti Subcounty Field Survey Station 001","CHsbmLO3U5C","Laguti Subcounty","anccgvVRV6E","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Parabongo Subcounty Field Survey Station 001","mErpRZrtmz8","Parabongo Subcounty","gqlcWIrj9J3","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Paicho Subcounty Field Survey Station 003","cStwSlODOpK","Paicho Subcounty","OKIyTJatyIr","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Lamogi Subcounty Field Survey Station 002","jWmjHpZqNtY","Lamogi Subcounty","COaxzbRhsBA","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Lamogi Subcounty Field Survey Station 003","u7JAnlZqo5D","Lamogi Subcounty","COaxzbRhsBA","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Palabek Kal Subcounty Field Survey Station 002","p0bIifvmV47","Palabek Kal Subcounty","KhXTdz48N9o","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 014","huR6kAEICw4","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Padibe East Subcounty Field Survey Station 001","a4WmbJQWIME","Padibe East Subcounty","b24YFQUhFfF","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Lamogi Subcounty Field Survey Station 004","AJxamlmKn2x","Lamogi Subcounty","COaxzbRhsBA","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Lamogi Subcounty Field Survey Station 005","UZYxp87I4oX","Lamogi Subcounty","COaxzbRhsBA","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Purongo Town Council Field Survey Station 001","VP7U4YcD16g","Purongo Town Council","HGs7L6N4m9I","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Pader Subcounty Field Survey Station 002","e2i5c23d8cq","Pader Subcounty","uMZROveCZt0","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Ogom Subcounty Field Survey Station 001","P2QYI0kDGW3","Ogom Subcounty","qbyIofSU5tA","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Central Division Field Survey Station 006","z2LfysbyF9U","Central Division","mdLZLcMudPe","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Central Division Field Survey Station 007","f7pQNP83wd9","Central Division","mdLZLcMudPe","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Central Division Field Survey Station 008","v3S6pvqS63U","Central Division","mdLZLcMudPe","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Central Division Field Survey Station 009","MvWfNbmsyfy","Central Division","mdLZLcMudPe","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
