"id","uid","name","shortname","longtitude","latitude","nhfrid","subcounty_uid","subcounty","district_uid","district","region","hflevel","ownership","authority","status","report"
"24","ajeoW3M1Tvm","Lapono Subcounty Field Survey Station 004","SG-AGAGO-004","33.434993","2.987945","9000000000024","qUDCFxUq4uw","Lapono Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"25","aGfndLfPcOz","Lira Kato Subcounty Field Survey Station 001","SG-AGAGO-001","33.438764","2.879034","9000000000025","WwUCbB1nYLS","Lira Kato Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"26","a9ZI6jNBqXx","Lira Kato Subcounty Field Survey Station 002","SG-AGAGO-002","33.487996","2.868972","9000000000026","WwUCbB1nYLS","Lira Kato Subcounty","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"27","aNM5X9P50rl","Lira Palwo Town Council Field Survey Station 001","SG-AGAGO-001","33.160548","2.786579","9000000000027","l7uazBwTNHf","Lira Palwo Town Council","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"28","ldVk8civU6m","Lira Palwo Town Council Field Survey Station 002","SG-AGAGO-002","33.166426","2.782428","9000000000028","l7uazBwTNHf","Lira Palwo Town Council","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","PNFP","UPMB","Functional","Reporting"
"29","o919aB1NWyq","Lirapalwo Subcounty Field Survey Station 001","SG-AGAGO-001","33.184894","2.749782","9000000000029","pH004BIak3K","Lirapalwo Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"30","FHLViw9IqR6","Lokole Subcounty Field Survey Station 001","SG-AGAGO-001","33.276642","2.860853","9000000000030","d7O2HPDA9UV","Lokole Subcounty","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"31","zfMY9GBN26I","Lokole Subcounty Field Survey Station 002","SG-AGAGO-002","33.366326","2.922139","9000000000031","d7O2HPDA9UV","Lokole Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"32","gvwYnobdOdM","Omiyapacwa Subcounty Field Survey Station 001","SG-AGAGO-001","33.415952","3.271141","9000000000032","Lv7IX3Xxutv","Omiyapacwa Subcounty","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"33","p1eA0ghuSyR","Omiyapacwa Subcounty Field Survey Station 002","SG-AGAGO-002","33.44343","3.193472","9000000000033","Lv7IX3Xxutv","Omiyapacwa Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"34","GzIVh9blxSN","Omot Subcounty Field Survey Station 001","SG-AGAGO-001","33.209908","2.692556","9000000000034","XAYIceYQGIl","Omot Subcounty","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"35","ASNnd0et215","Paimol Subcounty Field Survey Station 001","SG-AGAGO-001","33.423601","3.061405","9000000000035","zzl9JUHMQY1","Paimol Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"36","mErpRZrtmz8","Parabongo Subcounty Field Survey Station 001","SG-AGAGO-001","33.369986","2.984033","9000000000036","gqlcWIrj9J3","Parabongo Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"37","w9mcV8YwoKa","Parabongo Subcounty Field Survey Station 002","SG-AGAGO-002","33.331009","2.983858","9000000000037","gqlcWIrj9J3","Parabongo Subcounty","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"38","err2diilQ8C","Parabongo Subcounty Field Survey Station 003","SG-AGAGO-003","33.374828","3.088585","9000000000038","gqlcWIrj9J3","Parabongo Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"39","JICsD1QzzeJ","Patongo Subcounty Field Survey Station 001","SG-AGAGO-001","","","9000000000039","tlIMKbS5bmI","Patongo Subcounty","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Non-Reporting"
"40","oUcwyNtRzrb","Patongo Town Council Field Survey Station 001","SG-AGAGO-001","33.311819","2.760376","9000000000040","SE5V8TUKQnZ","Patongo Town Council","ztIyIYAzFKp","Agago District","Acholi","District Coordination Hub","GOV","Local Government","Functional","Reporting"
"41","AbQGl8CrhXH","Patongo Town Council Field Survey Station 002","SG-AGAGO-002","","","9000000000041","SE5V8TUKQnZ","Patongo Town Council","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","UPS","Functional","Reporting"
"42","fN5JzGLE8gv","Wol Subcounty Field Survey Station 001","SG-AGAGO-001","33.169552","3.156584","9000000000042","EJCiKQCS6WT","Wol Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"43","qOIHRAbHyeu","Wol Town Council Field Survey Station 001","SG-AGAGO-001","33.22395","3.12226","9000000000043","EPOFng6yFNp","Wol Town Council","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"44","aFgrVHVDqoZ","Amuru Subcounty Field Survey Station 001","SG-AMURU-001","31.93769","2.811959","9000000000044","acwO6ZCWJj7","Amuru Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Subcounty Field Station","PNFP","UCMB","Functional","Reporting"
"45","aqCLIBUuDgw","Amuru Subcounty Field Survey Station 002","SG-AMURU-002","","","9000000000045","acwO6ZCWJj7","Amuru Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","UPS","Functional","Reporting"
"46","Tvayfd3cIU2","Amuru Subcounty Field Survey Station 003","SG-AMURU-003","32.018286","2.81497","9000000000046","acwO6ZCWJj7","Amuru Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"47","OJYXXSC87rV","Amuru Subcounty Field Survey Station 004","SG-AMURU-004","31.966638","2.914859","9000000000047","acwO6ZCWJj7","Amuru Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","PNFP","UPMB","Functional","Reporting"
"48","LPjcTTbfcGL","Amuru Subcounty Field Survey Station 005","SG-AMURU-005","31.939399","2.877835","9000000000048","acwO6ZCWJj7","Amuru Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"49","UJ0t5BYVpBM","Amuru Town Council Field Survey Station 001","SG-AMURU-001","31.923052","2.819629","9000000000049","YG7bSJaIniu","Amuru Town Council","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"50","rnSuCabTqe3","Amuru Town Council Field Survey Station 002","SG-AMURU-002","31.859404","2.805735","9000000000050","YG7bSJaIniu","Amuru Town Council","C0RSe3EWBqU","Amuru District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"51","KSVxJfpwdlo","Atiak Subcounty Field Survey Station 001","SG-AMURU-001","","","9000000000051","ftLtvhHg24p","Atiak Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Regional Operations Hub","PNFP","NGO","Functional","Reporting"
"52","VdSMFKnHeyT","Atiak Subcounty Field Survey Station 002","SG-AMURU-002","32.119426","3.2837","9000000000052","ftLtvhHg24p","Atiak Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","PNFP","Private Authority","Functional","Reporting"
"53","kJ8CMUMloVu","Atiak Subcounty Field Survey Station 003","SG-AMURU-003","32.22376","3.266826","9000000000053","ftLtvhHg24p","Atiak Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"54","awjedeMiWo3","Atiak Subcounty Field Survey Station 004","SG-AMURU-004","32.10615","3.321137","9000000000054","ftLtvhHg24p","Atiak Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"55","r6JsqcaIqQh","Atiak Subcounty Field Survey Station 005","SG-AMURU-005","32.119426","3.2837","9000000000055","ftLtvhHg24p","Atiak Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","PNFP","Private Authority","Functional","Reporting"
"56","i5CDWEBfo9n","Atiak Town Council Field Survey Station 001","SG-AMURU-001","32.120378","3.255633","9000000000056","lkPGXsMpP8M","Atiak Town Council","C0RSe3EWBqU","Amuru District","Acholi","District Coordination Hub","GOV","Local Government","Functional","Reporting"
"57","N00TPmBoIls","Elegu Town Council Field Survey Station 001","SG-AMURU-001","32.06728","3.472603","9000000000057","nU9ascOQzge","Elegu Town Council","C0RSe3EWBqU","Amuru District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"58","O3KU4kLq6PT","Elegu Town Council Field Survey Station 002","SG-AMURU-002","","","9000000000058","nU9ascOQzge","Elegu Town Council","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","UPF","Functional","Reporting"
"59","OgYKIobOLya","Elegu Town Council Field Survey Station 003","SG-AMURU-003","","","9000000000059","nU9ascOQzge","Elegu Town Council","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"60","l25J2D2A6R3","Guru-Guru Subcounty Field Survey Station 001","SG-AMURU-001","32.078893","2.910468","9000000000060","tunpJ39KaWx","Guru-Guru Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"61","vnIPfEUR8ce","Guru-Guru Subcounty Field Survey Station 002","SG-AMURU-002","32.07898","2.837736","9000000000061","tunpJ39KaWx","Guru-Guru Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"62","Y1aTreUsUZn","Guru-Guru Subcounty Field Survey Station 003","SG-AMURU-003","32.012936","2.953022","9000000000062","tunpJ39KaWx","Guru-Guru Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"63","mYGNn9Bx0OH","Guru-Guru Subcounty Field Survey Station 004","SG-AMURU-004","32.152688","2.906365","9000000000063","tunpJ39KaWx","Guru-Guru Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"64","XdXAfIaLuld","Lamogi Subcounty Field Survey Station 001","SG-AMURU-001","32.175022","2.839922","9000000000064","COaxzbRhsBA","Lamogi Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"65","jWmjHpZqNtY","Lamogi Subcounty Field Survey Station 002","SG-AMURU-002","32.139215","2.82238","9000000000065","COaxzbRhsBA","Lamogi Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"66","u7JAnlZqo5D","Lamogi Subcounty Field Survey Station 003","SG-AMURU-003","","","9000000000066","COaxzbRhsBA","Lamogi Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","UPS","Functional","Reporting"
"67","AJxamlmKn2x","Lamogi Subcounty Field Survey Station 004","SG-AMURU-004","32.188865","2.811973","9000000000067","COaxzbRhsBA","Lamogi Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","PNFP","UPMB","Functional","Reporting"
"68","UZYxp87I4oX","Lamogi Subcounty Field Survey Station 005","SG-AMURU-005","32.189007","2.810001","9000000000068","COaxzbRhsBA","Lamogi Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"69","M5YKLYHpU1v","Layima Subcounty Field Survey Station 001","SG-AMURU-001","31.872985","2.881456","9000000000069","gvrKZ1wFDGc","Layima Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"70","llrIsQDjqka","Layima Subcounty Field Survey Station 002","SG-AMURU-002","31.770991","2.852568","9000000000070","gvrKZ1wFDGc","Layima Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"71","TjOqyM8ZMii","Opara Subcounty Field Survey Station 001","SG-AMURU-001","32.159401","3.16532","9000000000071","pPJG84907G8","Opara Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"72","mNeUlm3SpRz","Opara Subcounty Field Survey Station 002","SG-AMURU-002","32.157624","3.09435","9000000000072","pPJG84907G8","Opara Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"73","VomjjgKAFjr","Pabo Subcounty Field Survey Station 001","SG-AMURU-001","31.715275","2.97363","9000000000073","EgcvIoAN7Ti","Pabo Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"74","UDIcZADBS92","Pabo Subcounty Field Survey Station 002","SG-AMURU-002","32.108274","3.064758","9000000000074","EgcvIoAN7Ti","Pabo Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"75","am0vQYNJohR","Pabo Subcounty Field Survey Station 003","SG-AMURU-003","32.138015","2.946616","9000000000075","EgcvIoAN7Ti","Pabo Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"76","C8i6PL7Rmim","Pabo Subcounty Field Survey Station 004","SG-AMURU-004","32.106046","2.97245","9000000000076","EgcvIoAN7Ti","Pabo Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"77","a2a7qNyJg9j","Pabo Subcounty Field Survey Station 005","SG-AMURU-005","32.195858","3.017417","9000000000077","EgcvIoAN7Ti","Pabo Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"78","FNTxj1oKTQd","Pabo Town Council Field Survey Station 001","SG-AMURU-001","32.144627","3.008099","9000000000078","zWPYifWT74s","Pabo Town Council","C0RSe3EWBqU","Amuru District","Acholi","Subcounty Field Station","PNFP","UCMB","Functional","Reporting"
"79","rYNfPnt4Wko","Pabo Town Council Field Survey Station 002","SG-AMURU-002","32.141495","2.999294","9000000000079","zWPYifWT74s","Pabo Town Council","C0RSe3EWBqU","Amuru District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"80","goyzaXgJl7C","Pabo Town Council Field Survey Station 003","SG-AMURU-003","32.137072","3.000579","9000000000080","zWPYifWT74s","Pabo Town Council","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"81","a4QeS81YJ8z","Pogo Subcounty Field Survey Station 001","SG-AMURU-001","32.032157","3.059338","9000000000081","E7GUvPlMBr9","Pogo Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"82","a5pTJ9dZfZV","Pogo Subcounty Field Survey Station 002","SG-AMURU-002","32.045818","3.203807","9000000000082","E7GUvPlMBr9","Pogo Subcounty","C0RSe3EWBqU","Amuru District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"83","YLwAhOTWHrQ","Bar-Dege Layibi Division Field Survey Station 001","SG-GULUC-001","32.22729","2.755539","9000000000083","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"84","aKP6B0Z5nbZ","Bar-Dege Layibi Division Field Survey Station 002","SG-GULUC-002","32.293181","2.794789","9000000000084","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"85","AbgTvK9gyhA","Bar-Dege Layibi Division Field Survey Station 003","SG-GULUC-003","","","9000000000085","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"86","Az3dr4kZboc","Bar-Dege Layibi Division Field Survey Station 004","SG-GULUC-004","","","9000000000086","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","PFP","Private Authority","Non-Functional","Non-Reporting"
"87","gNOc58wzKHx","Bar-Dege Layibi Division Field Survey Station 005","SG-GULUC-005","32.290396","2.819564","9000000000087","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"88","aoBupw5zrMP","Bar-Dege Layibi Division Field Survey Station 006","SG-GULUC-006","32.29009","2.759193","9000000000088","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","PNFP","UCMB","Functional","Reporting"
"89","UpumtCGZcN0","Bar-Dege Layibi Division Field Survey Station 007","SG-GULUC-007","32.302596","2.754792","9000000000089","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"90","LIuykl04kI9","Bar-Dege Layibi Division Field Survey Station 008","SG-GULUC-008","32.296484","2.769862","9000000000090","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","PFP","UCBHCA","Non-Functional","Non-Reporting"
"91","RsY5tCgiuHp","Bar-Dege Layibi Division Field Survey Station 009","SG-GULUC-009","32.290091","2.776519","9000000000091","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Regional Operations Hub","PFP","Private Authority","Functional","Reporting"
"92","x1UaYpPwx6c","Bar-Dege Layibi Division Field Survey Station 010","SG-GULUC-010","32.280798","2.779875","9000000000092","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Regional Operations Hub","GOV","UPDF","Functional","Reporting"
"93","i7JbInoEb2D","Bar-Dege Layibi Division Field Survey Station 011","SG-GULUC-011","32.292896","2.770191","9000000000093","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Subcounty Field Station","GOV","UPS","Functional","Reporting"
"94","pVtYCy55mn4","Bar-Dege Layibi Division Field Survey Station 012","SG-GULUC-012","","","9000000000094","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","GOV","UPS","Functional","Reporting"
"95","S0RHvHct4uS","Bar-Dege Layibi Division Field Survey Station 013","SG-GULUC-013","32.294284","2.777002","9000000000095","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"96","jnS54maqjwy","Bar-Dege Layibi Division Field Survey Station 014","SG-GULUC-014","32.248846","2.765609","9000000000096","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","PFP","Private Authority","Non-Functional","Non-Reporting"
"97","n8DIemz1Xoh","Bar-Dege Layibi Division Field Survey Station 015","SG-GULUC-015","32.292266","2.745584","9000000000097","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"98","JIhuoOFwtAr","Bar-Dege Layibi Division Field Survey Station 016","SG-GULUC-016","32.248454","2.770688","9000000000098","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","PNFP","Private Authority","Functional","Reporting"
"99","aRBRoPNJuhf","Bar-Dege Layibi Division Field Survey Station 017","SG-GULUC-017","32.297878","2.774532","9000000000099","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","PNFP","Private Authority","Functional","Reporting"
"100","F2C1BkGVMSW","Bar-Dege Layibi Division Field Survey Station 018","SG-GULUC-018","32.235277","2.80716","9000000000100","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"101","jysVbegOvJ8","Bar-Dege Layibi Division Field Survey Station 019","SG-GULUC-019","32.290047","2.776228","9000000000101","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
"102","oA9gSEEB1qd","Bar-Dege Layibi Division Field Survey Station 020","SG-GULUC-020","","","9000000000102","xN3BZZ5MtYs","Bar-Dege Layibi Division","szlrGpmFlu9","Gulu City","Acholi","Community Enumeration Point","PFP","Private Authority","Functional","Reporting"
